nohup: ignoring input
train_size 32561, test_size 16281
Epoch 0100: train_loss=13.05048
Epoch 0200: train_loss=12.94113
Epoch 0300: train_loss=12.83947
Epoch 0400: train_loss=12.78699
Epoch 0500: train_loss=12.72050
Epoch 0600: train_loss=12.71604
Epoch 0700: train_loss=12.67185
Epoch 0800: train_loss=12.66086
Epoch 0900: train_loss=12.64714
Epoch 1000: train_loss=12.65614
Epoch 0100: train_loss=13.05488
Epoch 0200: train_loss=12.85638
Epoch 0300: train_loss=12.75531
Epoch 0400: train_loss=12.70173
Epoch 0500: train_loss=12.65105
Epoch 0600: train_loss=12.62506
Epoch 0700: train_loss=12.61158
Epoch 0800: train_loss=12.60082
Epoch 0900: train_loss=12.57937
Epoch 1000: train_loss=12.55185
Epoch 0100: train_loss=13.04333
Epoch 0200: train_loss=12.83766
Epoch 0300: train_loss=12.76186
Epoch 0400: train_loss=12.70820
Epoch 0500: train_loss=12.65679
Epoch 0600: train_loss=12.62847
Epoch 0700: train_loss=12.62695
Epoch 0800: train_loss=12.61676
Epoch 0900: train_loss=12.58715
Epoch 1000: train_loss=12.57065
Epoch 0100: train_loss=13.06530
Epoch 0200: train_loss=12.88721
Epoch 0300: train_loss=12.80481
Epoch 0400: train_loss=12.75172
Epoch 0500: train_loss=12.70508
Epoch 0600: train_loss=12.65371
Epoch 0700: train_loss=12.63717
Epoch 0800: train_loss=12.60565
Epoch 0900: train_loss=12.56668
Epoch 1000: train_loss=12.54947
Epoch 0100: train_loss=13.15981
Epoch 0200: train_loss=12.98060
Epoch 0300: train_loss=12.86628
Epoch 0400: train_loss=12.84638
Epoch 0500: train_loss=12.79611
Epoch 0600: train_loss=12.74691
Epoch 0700: train_loss=12.73859
Epoch 0800: train_loss=12.70526
Epoch 0900: train_loss=12.70259
Epoch 1000: train_loss=12.67195
Epoch 0100: train_loss=13.16114
Epoch 0200: train_loss=12.97229
Epoch 0300: train_loss=12.86432
Epoch 0400: train_loss=12.82810
Epoch 0500: train_loss=12.79533
Epoch 0600: train_loss=12.76336
Epoch 0700: train_loss=12.75243
Epoch 0800: train_loss=12.72759
Epoch 0900: train_loss=12.69947
Epoch 1000: train_loss=12.70208
Epoch 0100: train_loss=13.38956
Epoch 0200: train_loss=13.24721
Epoch 0300: train_loss=13.18012
Epoch 0400: train_loss=13.09578
Epoch 0500: train_loss=13.05207
Epoch 0600: train_loss=13.03013
Epoch 0700: train_loss=13.01524
Epoch 0800: train_loss=13.00131
Epoch 0900: train_loss=12.96260
